customer_id,customer_type,tenure_months,avg_order_value,purchase_frequency,category,days_since_last_purchase,churned,total_spend,avg_days_between_purchase,tenure_band,frequency_bucket,order_value_segment,rfm_segment
86,New,3,110.18,1,Clothing,21,0,110.18,90,0-3 months,1-2,Medium,Need Attention
87,Returning,12,96.92,2,Books,10,0,193.83,180,6-12 months,1-2,Low,Potential Loyalists
88,Returning,10,188.84,2,Sports,127,1,377.68,150,6-12 months,1-2,Medium,Need Attention
89,Returning,7,196.04,5,Books,8,0,980.22,42,6-12 months,3-5,Medium,Champions
90,Loyal,19,238.03,10,Electronics,7,0,2380.33,57,12-24 months,6-10,High,Champions
91,Loyal,30,221.71,9,Home & Garden,28,0,1995.4,100,24+ months,6-10,High,Champions
92,New,1,136.21,2,Electronics,127,1,272.43,15,0-3 months,1-2,Medium,Need Attention
93,New,2,148.42,1,Home & Garden,1,0,148.42,60,0-3 months,1-2,Medium,Need Attention
94,New,2,70.82,1,Books,62,1,70.82,60,0-3 months,1-2,Low,At Risk
95,Returning,8,210.1,6,Home & Garden,5,0,1260.57,40,6-12 months,6-10,High,Champions
96,Loyal,30,178.99,13,Books,22,0,2326.87,69.2,24+ months,11-15,Medium,Champions
97,New,2,132.45,1,Electronics,2,0,132.45,60,0-3 months,1-2,Medium,Need Attention
98,New,1,128.91,2,Books,103,1,257.83,15,0-3 months,1-2,Medium,Need Attention
99,New,3,102.23,2,Sports,11,0,204.47,45,0-3 months,1-2,Medium,Potential Loyalists
100,Loyal,16,191.48,10,Clothing,30,0,1914.8,48,12-24 months,6-10,Medium,Champions
101,Returning,6,174.15,6,Sports,22,0,1044.88,30,3-6 months,6-10,Medium,Champions
102,Returning,11,179.96,4,Electronics,27,0,719.84,82.5,6-12 months,3-5,Medium,Loyal Customers
103,Loyal,32,281.4,8,Clothing,135,1,2251.22,120,24+ months,6-10,High,Big Spenders
104,Loyal,29,196.56,15,Sports,27,0,2948.43,58,24+ months,11-15,Medium,Champions
105,Returning,10,189.07,3,Electronics,92,1,567.21,100,6-12 months,3-5,Medium,Big Spenders
106,Returning,6,105.99,2,Clothing,114,1,211.99,90,3-6 months,1-2,Medium,Need Attention
107,Loyal,34,130.93,12,Sports,29,0,1571.15,85,24+ months,11-15,Medium,Champions
108,Returning,9,185.68,6,Electronics,23,0,1114.07,45,6-12 months,6-10,Medium,Champions
109,New,3,95.62,2,Clothing,86,1,191.25,45,0-3 months,1-2,Low,Need Attention
110,Returning,3,176.47,2,Books,29,0,352.94,45,0-3 months,1-2,Medium,Potential Loyalists
111,Loyal,21,239.72,13,Sports,1,0,3116.3,48.5,12-24 months,11-15,High,Champions
112,Returning,5,178.38,3,Electronics,140,1,535.14,50,3-6 months,3-5,Medium,Big Spenders
113,Loyal,13,149.66,15,Home & Garden,26,0,2244.96,26,12-24 months,11-15,Medium,Champions
114,New,1,90.93,1,Books,82,1,90.93,30,0-3 months,1-2,Low,At Risk
115,Loyal,26,274.43,17,Sports,97,1,4665.26,45.9,24+ months,15+,High,Big Spenders
116,Returning,3,165.52,3,Clothing,21,0,496.57,30,0-3 months,3-5,Medium,Loyal Customers
117,Returning,9,100.5,5,Home & Garden,94,1,502.52,54,6-12 months,3-5,Medium,Big Spenders
118,Returning,11,200.76,3,Home & Garden,26,0,602.29,110,6-12 months,3-5,High,Loyal Customers
119,Loyal,33,301.73,14,Sports,13,0,4224.25,70.7,24+ months,11-15,Premium,Champions
120,Returning,4,197.11,6,Electronics,13,0,1182.68,20,3-6 months,6-10,Medium,Champions
121,Loyal,36,270.94,14,Electronics,6,0,3793.16,77.1,24+ months,11-15,High,Champions
122,Returning,9,104.57,6,Home & Garden,3,0,627.45,45,6-12 months,6-10,Medium,Champions
123,Returning,8,131.22,3,Books,12,0,393.67,80,6-12 months,3-5,Medium,Loyal Customers
124,New,1,112.1,2,Books,102,1,224.2,15,0-3 months,1-2,Medium,Need Attention
125,New,2,83.57,1,Electronics,20,0,83.57,60,0-3 months,1-2,Low,Need Attention
126,New,3,131.89,2,Electronics,84,1,263.77,45,0-3 months,1-2,Medium,Need Attention
127,Returning,3,140.59,2,Electronics,20,0,281.18,45,0-3 months,1-2,Medium,Potential Loyalists
128,New,3,92.42,1,Home & Garden,5,0,92.42,90,0-3 months,1-2,Low,Need Attention
129,Returning,4,111.94,5,Home & Garden,65,1,559.7,24,3-6 months,3-5,Medium,Big Spenders
130,Returning,12,95.53,3,Home & Garden,23,0,286.59,120,6-12 months,3-5,Low,Loyal Customers
131,New,2,92.93,1,Books,109,1,92.93,60,0-3 months,1-2,Low,At Risk
132,Returning,6,158.55,5,Books,24,0,792.74,36,3-6 months,3-5,Medium,Champions
133,Returning,10,187.97,3,Books,24,0,563.92,100,6-12 months,3-5,Medium,Loyal Customers
134,New,3,85.12,1,Electronics,139,1,85.12,90,0-3 months,1-2,Low,At Risk
135,Loyal,23,270.21,15,Sports,13,0,4053.14,46,12-24 months,11-15,High,Champions
136,Loyal,23,170.55,8,Sports,22,0,1364.43,86.3,12-24 months,6-10,Medium,Champions
137,New,2,68.97,1,Electronics,70,1,68.97,60,0-3 months,1-2,Low,At Risk
138,Returning,7,214.27,4,Electronics,146,1,857.06,52.5,6-12 months,3-5,High,Big Spenders
139,Returning,4,185.36,2,Sports,111,1,370.72,60,3-6 months,1-2,Medium,Need Attention
140,Loyal,27,308.97,8,Clothing,9,0,2471.76,101.3,24+ months,6-10,Premium,Champions
141,Returning,6,223.37,3,Electronics,13,0,670.12,60,3-6 months,3-5,High,Loyal Customers
142,New,3,56.87,2,Electronics,90,1,113.73,45,0-3 months,1-2,Low,Need Attention
143,New,3,111.67,2,Clothing,11,0,223.34,45,0-3 months,1-2,Medium,Potential Loyalists
144,Returning,5,219.98,2,Electronics,24,0,439.97,75,3-6 months,1-2,High,Potential Loyalists
145,Returning,4,132.74,4,Sports,1,0,530.97,30,3-6 months,3-5,Medium,Loyal Customers
146,Returning,12,110.78,5,Electronics,11,0,553.89,72,6-12 months,3-5,Medium,Champions
147,New,3,132.73,2,Sports,68,1,265.46,45,0-3 months,1-2,Medium,Need Attention
148,Loyal,25,230.25,7,Books,19,0,1611.72,107.1,24+ months,6-10,High,Champions
149,New,3,121.04,1,Sports,8,0,121.04,90,0-3 months,1-2,Medium,Need Attention
150,Returning,9,175.7,3,Books,10,0,527.1,90,6-12 months,3-5,Medium,Loyal Customers
151,Loyal,33,253.5,15,Home & Garden,5,0,3802.52,66,24+ months,11-15,High,Champions
152,Returning,12,99.83,5,Books,3,0,499.14,72,6-12 months,3-5,Low,Loyal Customers
153,New,1,86.54,2,Home & Garden,14,0,173.08,15,0-3 months,1-2,Low,Potential Loyalists
154,New,1,120.05,1,Clothing,112,1,120.05,30,0-3 months,1-2,Medium,At Risk
155,New,3,97.07,1,Clothing,25,0,97.07,90,0-3 months,1-2,Low,Need Attention
156,New,3,50.95,1,Electronics,15,0,50.95,90,0-3 months,1-2,Low,Need Attention
157,Returning,5,177.51,4,Sports,28,0,710.04,37.5,3-6 months,3-5,Medium,Loyal Customers
158,New,2,122.59,1,Sports,102,1,122.59,60,0-3 months,1-2,Medium,At Risk
159,Returning,4,165.53,4,Books,14,0,662.11,30,3-6 months,3-5,Medium,Loyal Customers
160,Loyal,19,223.27,16,Clothing,6,0,3572.32,35.6,12-24 months,15+,High,Champions
161,Returning,6,214.66,5,Clothing,2,0,1073.28,36,3-6 months,3-5,High,Champions
162,New,2,54.76,2,Electronics,10,0,109.51,30,0-3 months,1-2,Low,Potential Loyalists
163,Loyal,19,179.86,19,Books,12,0,3417.33,30,12-24 months,15+,Medium,Champions
164,Loyal,35,317.24,18,Books,17,0,5710.34,58.3,24+ months,15+,Premium,Champions
165,Loyal,31,208.33,17,Home & Garden,4,0,3541.55,54.7,24+ months,15+,High,Champions
166,Loyal,16,319.78,6,Electronics,15,0,1918.69,80,12-24 months,6-10,Premium,Champions
167,New,2,149.14,2,Electronics,29,0,298.28,30,0-3 months,1-2,Medium,Potential Loyalists
168,Returning,12,192.85,6,Books,136,1,1157.12,60,6-12 months,6-10,Medium,Big Spenders
169,New,1,111.52,1,Clothing,16,0,111.52,30,0-3 months,1-2,Medium,Need Attention
170,Loyal,35,302.64,19,Clothing,9,0,5750.2,55.3,24+ months,15+,Premium,Champions
171,New,1,147.97,2,Sports,15,0,295.95,15,0-3 months,1-2,Medium,Potential Loyalists
172,Returning,10,102.22,2,Home & Garden,99,1,204.44,150,6-12 months,1-2,Medium,Need Attention
173,New,1,125.17,2,Home & Garden,16,0,250.34,15,0-3 months,1-2,Medium,Potential Loyalists
174,New,1,62.38,2,Electronics,1,0,124.76,15,0-3 months,1-2,Low,Potential Loyalists
175,New,2,109.78,2,Books,86,1,219.55,30,0-3 months,1-2,Medium,Need Attention
176,Returning,8,156.03,5,Home & Garden,20,0,780.16,48,6-12 months,3-5,Medium,Champions
177,New,3,68.45,2,Electronics,15,0,136.91,45,0-3 months,1-2,Low,Potential Loyalists
178,Returning,12,224.61,5,Books,2,0,1123.03,72,6-12 months,3-5,High,Champions
179,Returning,10,106.81,4,Home & Garden,23,0,427.23,75,6-12 months,3-5,Medium,Loyal Customers
180,Returning,11,104.29,3,Electronics,26,0,312.87,110,6-12 months,3-5,Medium,Loyal Customers
181,Loyal,22,169.4,10,Books,23,0,1693.96,66,12-24 months,6-10,Medium,Champions
182,New,3,126.72,1,Home & Garden,126,1,126.72,90,0-3 months,1-2,Medium,At Risk
183,New,2,55.6,2,Sports,5,0,111.2,30,0-3 months,1-2,Low,Potential Loyalists
184,Returning,11,146.99,2,Home & Garden,11,0,293.98,165,6-12 months,1-2,Medium,Potential Loyalists
185,New,3,77.24,2,Clothing,20,0,154.48,45,0-3 months,1-2,Low,Potential Loyalists
186,Returning,5,210.01,4,Books,12,0,840.03,37.5,3-6 months,3-5,High,Loyal Customers
187,Returning,4,164.43,4,Clothing,26,0,657.73,30,3-6 months,3-5,Medium,Loyal Customers
188,New,3,119.42,1,Electronics,102,1,119.42,90,0-3 months,1-2,Medium,At Risk
189,Returning,11,169.12,6,Home & Garden,105,1,1014.69,55,6-12 months,6-10,Medium,Big Spenders
190,Loyal,21,239.16,19,Sports,10,0,4544.13,33.2,12-24 months,15+,High,Champions
191,New,3,53.27,2,Books,7,0,106.55,45,0-3 months,1-2,Low,Potential Loyalists
192,Returning,6,115.72,3,Electronics,109,1,347.17,60,3-6 months,3-5,Medium,Need Attention
193,Loyal,25,229.09,10,Home & Garden,20,0,2290.88,75,24+ months,6-10,High,Champions
194,Loyal,26,177.58,19,Clothing,138,1,3374.03,41.1,24+ months,15+,Medium,Big Spenders
195,New,3,129.89,2,Books,106,1,259.78,45,0-3 months,1-2,Medium,Need Attention
196,Loyal,26,202.34,14,Electronics,28,0,2832.82,55.7,24+ months,11-15,High,Champions
197,Returning,5,148.96,3,Books,14,0,446.88,50,3-6 months,3-5,Medium,Loyal Customers
198,Loyal,15,175.26,18,Electronics,95,1,3154.6,25,12-24 months,15+,Medium,Big Spenders
199,Loyal,26,158.93,17,Home & Garden,69,1,2701.87,45.9,24+ months,15+,Medium,Big Spenders
200,Returning,11,162.24,4,Electronics,28,0,648.95,82.5,6-12 months,3-5,Medium,Loyal Customers
201,Returning,7,180.55,2,Home & Garden,6,0,361.1,105,6-12 months,1-2,Medium,Potential Loyalists
202,Returning,7,214.14,6,Books,7,0,1284.85,35,6-12 months,6-10,High,Champions
203,New,2,105.34,1,Home & Garden,11,0,105.34,60,0-3 months,1-2,Medium,Need Attention
204,Returning,8,227.16,2,Books,27,0,454.32,120,6-12 months,1-2,High,Potential Loyalists
205,Loyal,19,222.11,19,Electronics,7,0,4220.14,30,12-24 months,15+,High,Champions
206,New,3,97.52,1,Books,20,0,97.52,90,0-3 months,1-2,Low,Need Attention
207,Returning,9,111.27,2,Sports,16,0,222.54,135,6-12 months,1-2,Medium,Potential Loyalists
208,Loyal,12,128.7,18,Clothing,5,0,2316.64,20,6-12 months,15+,Medium,Champions
209,New,1,81.38,1,Sports,28,0,81.38,30,0-3 months,1-2,Low,Need Attention
210,New,3,85.25,2,Electronics,3,0,170.5,45,0-3 months,1-2,Low,Potential Loyalists
211,New,3,99.31,2,Clothing,61,1,198.62,45,0-3 months,1-2,Low,Need Attention
212,Loyal,25,133.78,8,Sports,2,0,1070.27,93.8,24+ months,6-10,Medium,Champions
213,Returning,9,141.99,5,Electronics,17,0,709.93,54,6-12 months,3-5,Medium,Champions
214,Returning,5,208.91,4,Clothing,24,0,835.64,37.5,3-6 months,3-5,High,Loyal Customers
215,New,3,124.08,1,Sports,72,1,124.08,90,0-3 months,1-2,Medium,At Risk
216,New,2,89.06,1,Electronics,28,0,89.06,60,0-3 months,1-2,Low,Need Attention
217,Returning,10,101.35,3,Clothing,15,0,304.06,100,6-12 months,3-5,Medium,Loyal Customers
218,Returning,11,129.39,5,Books,4,0,646.95,66,6-12 months,3-5,Medium,Champions
219,Loyal,17,176.94,6,Sports,7,0,1061.63,85,12-24 months,6-10,Medium,Champions
220,New,1,84.2,2,Electronics,3,0,168.39,15,0-3 months,1-2,Low,Potential Loyalists
221,New,3,133.44,1,Books,2,0,133.44,90,0-3 months,1-2,Medium,Need Attention
222,Returning,11,94.31,5,Books,13,0,471.56,66,6-12 months,3-5,Low,Loyal Customers
223,Loyal,22,211.65,10,Sports,18,0,2116.5,66,12-24 months,6-10,High,Champions
224,Returning,11,118.44,5,Clothing,138,1,592.2,66,6-12 months,3-5,Medium,Big Spenders
225,New,2,132.28,1,Home & Garden,17,0,132.28,60,0-3 months,1-2,Medium,Need Attention
226,New,2,99.12,2,Home & Garden,62,1,198.24,30,0-3 months,1-2,Low,Need Attention
227,Loyal,30,238.95,7,Electronics,19,0,1672.68,128.6,24+ months,6-10,High,Champions
228,Loyal,36,213.37,12,Electronics,19,0,2560.47,90,24+ months,11-15,High,Champions
229,Loyal,32,208.16,7,Electronics,12,0,1457.13,137.1,24+ months,6-10,High,Champions
230,Loyal,24,289.99,12,Home & Garden,8,0,3479.86,60,12-24 months,11-15,High,Champions
231,New,2,52.76,2,Books,18,0,105.52,30,0-3 months,1-2,Low,Potential Loyalists
232,Loyal,33,181.42,11,Books,20,0,1995.6,90,24+ months,11-15,Medium,Champions
233,New,1,52.18,2,Electronics,135,1,104.36,15,0-3 months,1-2,Low,Need Attention
234,New,3,100.5,1,Electronics,14,0,100.5,90,0-3 months,1-2,Medium,Need Attention
235,Returning,11,93.51,5,Electronics,136,1,467.53,66,6-12 months,3-5,Low,Need Attention
236,Returning,11,96.54,6,Home & Garden,10,0,579.25,55,6-12 months,6-10,Low,Champions
237,New,1,139.9,1,Home & Garden,82,1,139.9,30,0-3 months,1-2,Medium,At Risk
238,New,3,128.97,2,Home & Garden,29,0,257.93,45,0-3 months,1-2,Medium,Potential Loyalists
239,Loyal,21,143.09,5,Books,22,0,715.45,126,12-24 months,3-5,Medium,Champions
240,New,1,70.98,1,Books,147,1,70.98,30,0-3 months,1-2,Low,At Risk
241,New,2,90.59,2,Books,147,1,181.19,30,0-3 months,1-2,Low,Need Attention
242,Returning,11,85.59,2,Electronics,2,0,171.19,165,6-12 months,1-2,Low,Potential Loyalists
243,New,1,93.72,1,Sports,18,0,93.72,30,0-3 months,1-2,Low,Need Attention
244,Loyal,19,307.78,16,Sports,27,0,4924.42,35.6,12-24 months,15+,Premium,Champions
245,Returning,4,211.37,6,Electronics,9,0,1268.21,20,3-6 months,6-10,High,Champions
246,New,1,108.12,1,Electronics,72,1,108.12,30,0-3 months,1-2,Medium,At Risk
247,New,3,88.85,2,Electronics,23,0,177.7,45,0-3 months,1-2,Low,Potential Loyalists
248,Loyal,24,246.19,16,Clothing,14,0,3939.07,45,12-24 months,15+,High,Champions
249,Loyal,17,248.39,18,Electronics,19,0,4470.99,28.3,12-24 months,15+,High,Champions
250,New,2,125.48,1,Electronics,16,0,125.48,60,0-3 months,1-2,Medium,Need Attention
251,Returning,9,125.42,4,Clothing,108,1,501.68,67.5,6-12 months,3-5,Medium,Big Spenders
252,New,1,111.93,2,Electronics,149,1,223.87,15,0-3 months,1-2,Medium,Need Attention
253,New,1,53.77,1,Sports,7,0,53.77,30,0-3 months,1-2,Low,Need Attention
254,Returning,11,213.69,2,Electronics,16,0,427.39,165,6-12 months,1-2,High,Potential Loyalists
255,New,3,101.34,1,Sports,9,0,101.34,90,0-3 months,1-2,Medium,Need Attention
256,Returning,7,115.6,5,Sports,25,0,578,42,6-12 months,3-5,Medium,Champions
257,Returning,11,139.47,5,Sports,13,0,697.35,66,6-12 months,3-5,Medium,Champions
258,Loyal,24,184.82,17,Books,15,0,3142,42.4,12-24 months,15+,Medium,Champions
259,New,3,85.36,1,Home & Garden,10,0,85.36,90,0-3 months,1-2,Low,Need Attention
260,New,3,131.83,1,Books,8,0,131.83,90,0-3 months,1-2,Medium,Need Attention
261,Loyal,14,130.3,9,Home & Garden,19,0,1172.72,46.7,12-24 months,6-10,Medium,Champions
262,Loyal,35,197.31,14,Clothing,23,0,2762.38,75,24+ months,11-15,Medium,Champions
263,New,3,65.68,2,Clothing,150,1,131.36,45,0-3 months,1-2,Low,Need Attention
264,Returning,9,184.34,5,Electronics,120,1,921.68,54,6-12 months,3-5,Medium,Big Spenders
265,Returning,3,130.43,2,Sports,70,1,260.85,45,0-3 months,1-2,Medium,Need Attention
266,Loyal,23,202.4,5,Sports,20,0,1011.98,138,12-24 months,3-5,High,Champions
267,New,1,75.63,2,Books,117,1,151.26,15,0-3 months,1-2,Low,Need Attention
268,New,1,70.25,1,Clothing,12,0,70.25,30,0-3 months,1-2,Low,Need Attention
269,New,1,108.38,1,Home & Garden,7,0,108.38,30,0-3 months,1-2,Medium,Need Attention
270,New,2,123.37,1,Electronics,16,0,123.37,60,0-3 months,1-2,Medium,Need Attention
271,Returning,4,227.81,4,Books,17,0,911.24,30,3-6 months,3-5,High,Loyal Customers
272,New,3,117.23,1,Sports,125,1,117.23,90,0-3 months,1-2,Medium,At Risk
273,New,2,62.77,1,Home & Garden,10,0,62.77,60,0-3 months,1-2,Low,Need Attention
274,New,1,118.5,2,Electronics,21,0,237,15,0-3 months,1-2,Medium,Potential Loyalists
275,New,1,117.75,2,Electronics,71,1,235.5,15,0-3 months,1-2,Medium,Need Attention
276,Returning,11,145.77,4,Books,1,0,583.08,82.5,6-12 months,3-5,Medium,Loyal Customers
277,Loyal,33,180.26,14,Home & Garden,21,0,2523.65,70.7,24+ months,11-15,Medium,Champions
278,New,3,109.93,2,Clothing,101,1,219.86,45,0-3 months,1-2,Medium,Need Attention
279,Returning,12,179.88,3,Sports,119,1,539.64,120,6-12 months,3-5,Medium,Big Spenders
280,Returning,8,205.14,4,Home & Garden,19,0,820.55,60,6-12 months,3-5,High,Loyal Customers
281,Loyal,15,207.57,11,Home & Garden,21,0,2283.22,40.9,12-24 months,11-15,High,Champions
282,Loyal,35,281.98,9,Electronics,7,0,2537.85,116.7,24+ months,6-10,High,Champions
283,Returning,5,122.58,4,Books,15,0,490.32,37.5,3-6 months,3-5,Medium,Loyal Customers
284,Returning,7,108.95,3,Home & Garden,137,1,326.85,70,6-12 months,3-5,Medium,Need Attention
285,Returning,11,210.6,2,Electronics,20,0,421.19,165,6-12 months,1-2,High,Potential Loyalists
286,Returning,11,177.52,3,Books,8,0,532.57,110,6-12 months,3-5,Medium,Loyal Customers
